triplet,r.confidence,r.source_document
Adult Learning Program | RELATED_TO | Community Adult Learning Program,0.7,https://www.alberta.ca/community-adult-learning-program-policy-and-resources
Adult Learning Program | RELATED_TO | Alberta are started by people,0.7,https://www.alberta.ca/community-adult-learning-program-policy-and-resources
Adult Learning Program | RELATED_TO | CALP policy,0.7,https://www.alberta.ca/community-adult-learning-program-policy-and-resources
Adult Learning Program | RELATED_TO | Program policy,0.7,https://www.alberta.ca/community-adult-learning-program-policy-and-resources
Adult Learning Program | RELATED_TO | CALP Policy,0.7,https://www.alberta.ca/community-adult-learning-program-policy-and-resources
Adult Learning Program | RELATED_TO | Adult learning program,0.7,https://www.alberta.ca/community-adult-learning-program-overview
Adult Learning Program | RELATED_TO | Learning Program,0.7,https://www.alberta.ca/community-adult-learning-program-overview
Adult Learning Program | RELATED_TO | learning program,0.7,https://www.alberta.ca/community-adult-learning-program-overview
Adult Learning Program | RELATED_TO | Community Adult Learning Program,0.7,https://www.alberta.ca/community-adult-learning-program-overview
Adult Learning Program | RELATED_TO | Community Adult learning program,0.7,https://www.alberta.ca/community-adult-learning-program-overview
Adult Learning Program | RELATED_TO | Alberta are started by people,0.7,https://www.alberta.ca/community-adult-learning-program-overview
Adult Learning Program | RELATED_TO | Adult Learning program,0.7,https://www.alberta.ca/community-adult-learning-program
Adult Learning Program | RELATED_TO | Learning Program,0.7,https://www.alberta.ca/community-adult-learning-program
Adult Learning Program | RELATED_TO | Learning program,0.7,https://www.alberta.ca/community-adult-learning-program
Adult Learning Program | RELATED_TO | Community Adult Learning Program,0.7,https://www.alberta.ca/community-adult-learning-program
Adult Learning Program | RELATED_TO | Community Adult Learning program,0.7,https://www.alberta.ca/community-adult-learning-program
Adult Learning Program | RELATED_TO | Alberta are started by people,0.7,https://www.alberta.ca/community-adult-learning-program
Adult Learning Program | RELATED_TO | CALP policy,0.7,https://www.alberta.ca/community-adult-learning-program
Adult Learning Program | RELATED_TO | Rural Electric Program,0.7,https://www.alberta.ca/sport-participation-support-program
Adult Learning Program | RELATED_TO | Environmental Science Program,0.7,https://www.alberta.ca/sport-participation-support-program
Adult Learning Program | RELATED_TO | Employment Partnerships Program,0.7,https://www.alberta.ca/sport-participation-support-program
Adult Learning Program | RELATED_TO | Learning Program,0.7,https://www.alberta.ca/sport-participation-support-program
Adult Learning Program | RELATED_TO | Electric Program,0.7,https://www.alberta.ca/sport-participation-support-program
Adult Learning Program | RELATED_TO | Science Program,0.7,https://www.alberta.ca/sport-participation-support-program
Adult Learning Program | RELATED_TO | Partnerships Program,0.7,https://www.alberta.ca/sport-participation-support-program
Adult Learning Program | RELATED_TO | Community Adult Learning Program,0.7,https://www.alberta.ca/sport-participation-support-program
Adult Learning Program | RELATED_TO | Alberta Farm Fuel Benefit,0.7,https://www.alberta.ca/sport-participation-support-program
Adult Learning Program | RELATED_TO | Alberta Energy Regulator,0.7,https://www.alberta.ca/sport-participation-support-program
Adult Learning Program | RELATED_TO | Rural Electric Program,0.7,https://www.alberta.ca/major-sport-event-grant-program
Adult Learning Program | RELATED_TO | Environmental Science Program,0.7,https://www.alberta.ca/major-sport-event-grant-program
Adult Learning Program | RELATED_TO | Employment Partnerships Program,0.7,https://www.alberta.ca/major-sport-event-grant-program
Adult Learning Program | RELATED_TO | Learning Program,0.7,https://www.alberta.ca/major-sport-event-grant-program
Adult Learning Program | RELATED_TO | Electric Program,0.7,https://www.alberta.ca/major-sport-event-grant-program
Adult Learning Program | RELATED_TO | Science Program,0.7,https://www.alberta.ca/major-sport-event-grant-program
Adult Learning Program | RELATED_TO | Partnerships Program,0.7,https://www.alberta.ca/major-sport-event-grant-program
Adult Learning Program | RELATED_TO | Community Adult Learning Program,0.7,https://www.alberta.ca/major-sport-event-grant-program
Adult Learning Program | RELATED_TO | Alberta Farm Fuel Benefit,0.7,https://www.alberta.ca/major-sport-event-grant-program
Adult Learning Program | RELATED_TO | Alberta Energy Regulator,0.7,https://www.alberta.ca/major-sport-event-grant-program
Adult Learning Program | RELATED_TO | Rural Electric Program,0.7,https://www.alberta.ca/sport-physical-activity-and-recreation-stakeholder-services
Adult Learning Program | RELATED_TO | Environmental Science Program,0.7,https://www.alberta.ca/sport-physical-activity-and-recreation-stakeholder-services
Adult Learning Program | RELATED_TO | Employment Partnerships Program,0.7,https://www.alberta.ca/sport-physical-activity-and-recreation-stakeholder-services
Adult Learning Program | RELATED_TO | Learning Program,0.7,https://www.alberta.ca/sport-physical-activity-and-recreation-stakeholder-services
Adult Learning Program | RELATED_TO | Electric Program,0.7,https://www.alberta.ca/sport-physical-activity-and-recreation-stakeholder-services
Adult Learning Program | RELATED_TO | Science Program,0.7,https://www.alberta.ca/sport-physical-activity-and-recreation-stakeholder-services
Adult Learning Program | RELATED_TO | Partnerships Program,0.7,https://www.alberta.ca/sport-physical-activity-and-recreation-stakeholder-services
Adult Learning Program | RELATED_TO | Community Adult Learning Program,0.7,https://www.alberta.ca/sport-physical-activity-and-recreation-stakeholder-services
Adult Learning Program | RELATED_TO | Alberta Farm Fuel Benefit,0.7,https://www.alberta.ca/sport-physical-activity-and-recreation-stakeholder-services
Adult Learning Program | RELATED_TO | Alberta Energy Regulator,0.7,https://www.alberta.ca/sport-physical-activity-and-recreation-stakeholder-services
Adult Learning Program | RELATED_TO | Rural Electric Program,0.7,https://www.alberta.ca/sport-physical-activity-and-recreation-award-programs
Adult Learning Program | RELATED_TO | Environmental Science Program,0.7,https://www.alberta.ca/sport-physical-activity-and-recreation-award-programs
Adult Learning Program | RELATED_TO | Employment Partnerships Program,0.7,https://www.alberta.ca/sport-physical-activity-and-recreation-award-programs
Adult Learning Program | RELATED_TO | Learning Program,0.7,https://www.alberta.ca/sport-physical-activity-and-recreation-award-programs
Adult Learning Program | RELATED_TO | Electric Program,0.7,https://www.alberta.ca/sport-physical-activity-and-recreation-award-programs
Adult Learning Program | RELATED_TO | Science Program,0.7,https://www.alberta.ca/sport-physical-activity-and-recreation-award-programs
Adult Learning Program | RELATED_TO | Partnerships Program,0.7,https://www.alberta.ca/sport-physical-activity-and-recreation-award-programs
Adult Learning Program | RELATED_TO | Community Adult Learning Program,0.7,https://www.alberta.ca/sport-physical-activity-and-recreation-award-programs
Adult Learning Program | RELATED_TO | Alberta Farm Fuel Benefit,0.7,https://www.alberta.ca/sport-physical-activity-and-recreation-award-programs
Adult Learning Program | RELATED_TO | Alberta Energy Regulator,0.7,https://www.alberta.ca/sport-physical-activity-and-recreation-award-programs
Adult Learning Program | RELATED_TO | Rural Electric Program,0.7,https://www.alberta.ca/albertas-future-leaders-program
Adult Learning Program | RELATED_TO | Environmental Science Program,0.7,https://www.alberta.ca/albertas-future-leaders-program
Adult Learning Program | RELATED_TO | Employment Partnerships Program,0.7,https://www.alberta.ca/albertas-future-leaders-program
Adult Learning Program | RELATED_TO | Learning Program,0.7,https://www.alberta.ca/albertas-future-leaders-program
Adult Learning Program | RELATED_TO | Electric Program,0.7,https://www.alberta.ca/albertas-future-leaders-program
Adult Learning Program | RELATED_TO | Science Program,0.7,https://www.alberta.ca/albertas-future-leaders-program
Adult Learning Program | RELATED_TO | Partnerships Program,0.7,https://www.alberta.ca/albertas-future-leaders-program
Adult Learning Program | RELATED_TO | Community Adult Learning Program,0.7,https://www.alberta.ca/albertas-future-leaders-program
Adult Learning Program | RELATED_TO | Alberta Farm Fuel Benefit,0.7,https://www.alberta.ca/albertas-future-leaders-program
Adult Learning Program | RELATED_TO | Alberta Energy Regulator,0.7,https://www.alberta.ca/albertas-future-leaders-program
Adult Learning Program | RELATED_TO | Rural Electric Program,0.7,https://www.alberta.ca/every-kid-can-play-program
Adult Learning Program | RELATED_TO | Environmental Science Program,0.7,https://www.alberta.ca/every-kid-can-play-program
Adult Learning Program | RELATED_TO | Employment Partnerships Program,0.7,https://www.alberta.ca/every-kid-can-play-program
